,xmeas_5,xmv_4,xmv_6,xmeas_10,xmv_3,xmv_11,xmeas_17,xmeas_4,xmeas_1,xmv_10,xmeas_9,xmeas_21,xmeas_30,xmeas_34
1,0.45,0.1,0.31,0.3,6.93,0.3,0.45,6.03,5.88,0.25,0.24,0.26,0.39,0.31
2,0.18,0.14,8.31,8.19,0.28,0.23,0.42,1.42,0.26,0.22,0.21,0.4,5.06,5.02
3,0.65,0.38,0.52,0.61,0.48,0.95,0.95,0.55,0.59,0.6,0.71,0.66,0.51,0.72
4,0.32,0.19,0.27,0.32,0.32,0.48,0.56,0.33,0.29,5.75,0.34,0.3,0.25,0.43
5,1.07,0.29,0.47,0.51,0.56,6.84,6.63,0.62,0.85,0.48,0.58,0.65,0.53,0.76
6,0.13,2.15,0.5,0.23,2.29,1.63,0.65,0.55,1.19,0.78,0.16,0.61,0.41,2.18
7,0.42,10.98,0.58,0.59,0.53,0.39,0.56,0.55,0.55,0.39,0.36,0.53,0.63,0.53
8,0.36,0.35,1.83,1.91,1.5,0.33,0.47,1.63,1.89,0.36,0.2,0.82,3.27,1.04
9,0.75,0.37,0.48,0.57,0.47,0.99,0.82,0.66,0.52,0.6,0.54,0.6,0.54,0.72
10,0.69,0.29,0.48,0.51,0.48,0.72,0.88,0.8,0.55,0.42,0.41,0.5,0.43,0.56
11,0.37,0.23,0.36,0.39,0.36,0.44,0.66,0.41,0.43,2.81,5.24,0.38,0.29,0.46
12,0.14,0.72,1.03,0.91,1.22,0.7,0.74,1.58,1.45,0.46,0.64,1.33,1.7,0.76
13,0.3,0.23,1.4,1.46,0.86,0.48,0.58,0.94,1.09,0.36,0.24,0.76,2.89,1.18
14,0.31,0.18,0.24,0.28,0.29,0.35,0.53,0.29,0.26,2.23,4.84,3.3,0.24,0.39
15,0.66,0.38,0.66,0.64,0.5,0.82,0.71,0.59,0.53,0.57,0.56,0.55,0.38,0.7
16,0.48,0.31,0.5,0.57,0.68,0.91,1.02,0.54,0.78,0.42,0.41,0.51,0.59,0.61
17,0.55,0.2,0.43,0.47,0.31,0.34,0.52,0.35,0.34,1.6,3.13,5.19,0.23,0.41
18,0.16,1.9,0.67,0.44,0.8,1.08,0.51,1.06,1.39,0.71,0.23,1.49,0.82,1.9
19,11.2,0.32,0.54,0.54,0.55,1.15,1.42,0.55,0.58,0.53,0.58,0.71,0.46,0.62
20,0.8,0.27,0.42,0.54,0.59,0.87,0.92,0.53,0.58,0.47,0.38,0.44,0.38,0.67
