,xmv_10,xmeas_18,xmeas_19,xmv_5,xmv_9,xmeas_21,xmeas_9,xmv_4,xmeas_7,xmeas_13,xmeas_20,xmeas_11
1,0.0183,0.1297,0.0927,0.0189,0.0915,0.0083,0.0046,0.002,0.0129,0.0124,0.0134,0.0081
2,0.0159,0.0921,0.0788,0.0357,0.0596,0.0125,0.0041,0.0027,0.0148,0.0189,0.0073,0.041
3,0.0436,0.0225,0.0183,0.0238,0.0166,0.0208,0.0139,0.0074,0.0159,0.0158,0.0109,0.0102
4,0.419,0.0235,0.0202,0.0112,0.0185,0.0095,0.0066,0.0037,0.009,0.0087,0.0064,0.0062
5,0.0347,0.0403,0.0363,0.0305,0.0305,0.0204,0.0114,0.0056,0.0222,0.0179,0.0158,0.0128
6,0.0569,0.0457,0.0451,0.0463,0.0402,0.0192,0.0032,0.0411,0.0288,0.0137,0.0231,0.0171
7,0.0284,0.0391,0.0333,0.0288,0.029,0.0168,0.0071,0.2101,0.0177,0.0161,0.0145,0.01
8,0.0259,0.062,0.0527,0.0501,0.0468,0.0257,0.004,0.0067,0.0275,0.0278,0.0246,0.0219
9,0.0435,0.0256,0.0223,0.0238,0.0171,0.0187,0.0107,0.0071,0.0162,0.016,0.0105,0.0089
10,0.0309,0.0945,0.0699,0.025,0.0595,0.0157,0.0081,0.0056,0.0167,0.014,0.0155,0.0085
11,0.2045,0.0279,0.0224,0.0167,0.021,0.0119,0.103,0.0044,0.0112,0.0106,0.008,0.0083
12,0.0335,0.0644,0.047,0.0492,0.0441,0.0419,0.0125,0.0138,0.0226,0.0213,0.024,0.0272
13,0.0264,0.066,0.0581,0.0422,0.0506,0.0239,0.0047,0.0044,0.0274,0.0263,0.0204,0.0239
14,0.1627,0.0236,0.0203,0.0144,0.0201,0.1035,0.0951,0.0035,0.0096,0.0094,0.0064,0.0053
15,0.0413,0.0233,0.0203,0.0275,0.0178,0.0173,0.011,0.0073,0.0149,0.0156,0.0107,0.0098
16,0.0303,0.0851,0.0777,0.0286,0.0765,0.016,0.008,0.0058,0.0155,0.014,0.0133,0.0077
17,0.1164,0.028,0.0202,0.0137,0.0202,0.1627,0.0615,0.0038,0.0098,0.0103,0.0071,0.0109
18,0.0516,0.0462,0.041,0.0388,0.03,0.0469,0.0044,0.0364,0.0288,0.0184,0.0154,0.0192
19,0.0385,0.0266,0.0227,0.0633,0.0236,0.0221,0.0114,0.0061,0.0164,0.0167,0.0186,0.0093
20,0.0344,0.03,0.0226,0.1476,0.0209,0.0137,0.0076,0.0052,0.0211,0.0394,0.0347,0.0203
